value,scope,type,description,column_format
espnTip2,GAME_EVENT,FLOAT,ESPN Time In Pocket 2,event.espnTip2
espnFirstPressure,GAME_EVENT_ENTITY,FLAG,ESPN First Player to create Pressure,event.espnFirstPressure
espnPlayAbortedPenalty,GAME_EVENT,FLAG,ESPN Play Aborted Penalty,event.espnPlayAbortedPenalty
espnCwPenaltyEpa,GAME_EVENT_ENTITY,FLOAT,ESPN Clutch Weighted Penalty EPA,event.espnCwPenaltyEpa
espnPenaltyEpa,GAME_EVENT_ENTITY,FLOAT,ESPN Penalty EPA,event.espnPenaltyEpa
espnPassDefended,GAME_EVENT_ENTITY,FLAG,ESPN Pass Defended,event.espnPassDefended
espnExtraInfo,GAME_EVENT,ENUM,ESPN Note about extra info,event.espnExtraInfo
espnCwIntEpa,GAME_EVENT_ENTITY,FLOAT,ESPN Clutch Weighted Int EPA,event.espnCwIntEpa
espnIntEpa,GAME_EVENT_ENTITY,FLOAT,ESPN Int EPA,event.espnIntEpa
espnCwScrambleEpa,GAME_EVENT_ENTITY,FLOAT,ESPN Clutch Weighted Scramble EPA,event.espnCwScrambleEpa
espnScrambleEpa,GAME_EVENT_ENTITY,FLOAT,ESPN Scramble EPA,event.espnScrambleEpa
espnCwRushEpa,GAME_EVENT_ENTITY,FLOAT,ESPN Clutch Weighted Rush EPA,event.espnCwRushEpa
espnRushEpa,GAME_EVENT_ENTITY,FLOAT,ESPN Rush EPA,event.espnRushEpa
espnCwSackedEpa,GAME_EVENT_ENTITY,FLOAT,ESPN Clutch Weighted Sacked EPA,event.espnCwSackedEpa
espnSackedEpa,GAME_EVENT_ENTITY,FLOAT,ESPN Sacked EPA,event.espnSackedEpa
espnPassBatted,GAME_EVENT_ENTITY,FLAG,ESPN Pass Batted,event.espnPassBatted
espnDroppedInt,GAME_EVENT,FLAG,ESPN Dropped Interception on Play,event.espnDroppedInt
espnDefDroppedInt,GAME_EVENT_ENTITY,FLAG,ESPN Player/Team Dropped Interception,event.espnDefDroppedInt
espnCwFumbleEpa,GAME_EVENT_ENTITY,FLOAT,ESPN Clutch Weighted Fumble EPA,event.espnCwFumbleEpa
espnFumbleEpa,GAME_EVENT_ENTITY,FLOAT,ESPN Fumble EPA,event.espnFumbleEpa
espnNotContacted,GAME_EVENT,FLAG,ESPN Not Contacted Flag,event.espnNotContacted
espnOddsCoverPush,GAME_ENTITY,FLAG,ESPN Odds Cover Push for Team,event.espnOddsCoverPush
espnOddsTotalOver,GAME,FLAG,ESPN Odds Over Under Total Over,event.espnOddsTotalOver
espnOddsTotalPush,GAME,FLAG,ESPN Odds Over Under Total Push,event.espnOddsTotalPush
espnPassTipped,GAME_EVENT_ENTITY,FLAG,ESPN Pass Tipped,event.espnPassTipped
espnPlayAbortedFumble,GAME_EVENT,FLAG,ESPN Play Aborted Fumble,event.espnPlayAbortedFumble
espnQbrQualified,GAME_ENTITY,FLAG,ESPN QBR Game Qualified,event.espnQbrQualified
espnScrambleYards,GAME_EVENT,INT,ESPN Scramble Yards,event.espnScrambleYards
espnThrownToSticks,GAME_EVENT,FLAG,Thrown To Sticks,event.espnThrownToSticks
espnPlayEPA,GAME_EVENT,FLOAT,ESPN Possesion Team EPA,event.espnPlayEPA
espnTimeBeforePassMillis,GAME_EVENT,INT,Time Before Pass (milliseconds),event.espnTimeBeforePassMillis
espnTargetPositionGroup,GAME_EVENT,ENUM,ESPN Target Position Detailed Group,event.espnTargetPositionGroup
espnPlayPositionRight,GAME_EVENT_ENTITY,FLAG,NULL,event.espnPlayPositionRight
espnPlayPositionLeft,GAME_EVENT_ENTITY,FLAG,NULL,event.espnPlayPositionLeft
espnRusherPositionGroup,GAME_EVENT,ENUM,ESPN Rusher Position Detailed Group,event.espnRusherPositionGroup
espnPlayPositionSlot,GAME_EVENT_ENTITY,FLAG,NULL,event.espnPlayPositionSlot
espnPlayIdMappingData,GAME,FLAG,Has ESPN Play Id Mapping Data,event.espnPlayIdMappingData
espnUnqplyGroup,GAME_EVENT,INT,ESPN Unique Play Group Id,event.espnUnqplyGroup
espnUnqplyGroupMissing,GAME_EVENT,FLAG,ESPN Unique Play Group Id Mapping is Missing,event.espnUnqplyGroupMissing
espnUnqplyGroupDiff,GAME_EVENT,FLAG,ESPN Unique Play Group Id Differs from NFL Play Id,event.espnUnqplyGroupDiff
espnInPassRush,GAME_EVENT_ENTITY,FLAG,NULL,event.espnInPassRush
espnInPassBlock,GAME_EVENT_ENTITY,FLAG,NULL,event.espnInPassBlock
espnInCoverage,GAME_EVENT_ENTITY,FLAG,NULL,event.espnInCoverage
espnDriveStartWP,GAME_EVENT_ENTITY,FLOAT,ESPN Drive Start Win Probability,event.espnDriveStartWP
espnDriveWPA,GAME_EVENT_ENTITY,FLOAT,ESPN Drive Win Probability Added,event.espnDriveWPA
espnDriveStartEP,GAME_EVENT_ENTITY,FLOAT,ESPN Drive Start Expected Points,event.espnDriveStartEP
espnDriveEPA,GAME_EVENT_ENTITY,FLOAT,ESPN Drive Expected Points Added,event.espnDriveEPA
espnDropback,GAME_EVENT,FLAG,Is play an ESPN dropback,event.espnDropback
espnTargetId,GAME_EVENT,INT,ESPN Target ID,event.espnTargetId
espnTargetPosition,GAME_EVENT,ENUM,ESPN Target Position,event.espnTargetPosition
conference,ENTITY,ENUM,Conference,event.conference
division,ENTITY,ENUM,Division,event.division
hasNFLData,ENTITY,FLAG,Has NFL Data,event.hasNFLData
leagueName,ENTITY,ENUM,League Name,event.leagueName
locationName,ENTITY,STRING,Location Name,event.locationName
teamId,ENTITY,INT,ESPN Team ID,event.teamId
teamName,ENTITY,STRING,Team Name,event.teamName
token,ENTITY,STRING,Token,event.token
nfl,SEASON,FLAG,NFL Season,event.nfl
openingCoinTossChoice,GAME,ENUM,Opening Coin Toss Selection,event.openingCoinTossChoice
refName,GAME,ENUM,Referee Name,event.refName
status,GAME,ENUM,Game Status,event.status
temperature,GAME,INT,Temperature,event.temperature
venueName,GAME,ENUM,Venue Name,event.venueName
away,GAME_ENTITY,FLAG,Away Team,event.away
finalScore,GAME_ENTITY,INT,Final Score,event.finalScore
finalScoreDiff,GAME_ENTITY,INT,Final Score Difference,event.finalScoreDiff
finalScoreOpponent,GAME_ENTITY,INT,Final Opponent Score,event.finalScoreOpponent
gameConference,GAME_ENTITY,ENUM,Conference at time of Game,event.gameConference
gameDivision,GAME_ENTITY,ENUM,Division at time of Game,event.gameDivision
gameLeagueName,GAME_ENTITY,ENUM,League Name at time of Game,event.gameLeagueName
gamePlayed,GAME_ENTITY,FLAG,Game Played,event.gamePlayed
loss,GAME_ENTITY,FLAG,Loss,event.loss
home,GAME_ENTITY,FLAG,Home Team,event.home
win,GAME_ENTITY,FLAG,Win,event.win
wonOpeningCoinToss,GAME_ENTITY,FLAG,Won Opening Coin Toss,event.wonOpeningCoinToss
gameSub,GAME_ENTITY,FLAG,Game Sub,event.gameSub
gameStarted,GAME_ENTITY,FLAG,Game Started,event.gameStarted
gameInactive,GAME_ENTITY,FLAG,Game Inactive,event.gameInactive
gameDNP,GAME_ENTITY,FLAG,Game DNP,event.gameDNP
drive,GAME_EVENT,FLAG,Drive,event.drive
driveEndDistance,GAME_EVENT,INT,Drive End Distance,event.driveEndDistance
driveEndingClock,GAME_EVENT,INT,Drive Ending Game Clock,event.driveEndingClock
driveEndQuarter,GAME_EVENT,INT,Drive End Quarter,event.driveEndQuarter
driveHowEnded,GAME_EVENT,ENUM,Drive How Ended,event.driveHowEnded
driveHowStarted,GAME_EVENT,ENUM,Drive How Started,event.driveHowStarted
driveNumber,GAME_EVENT,INT,Drive Number,event.driveNumber
drivePasses,GAME_EVENT,INT,Drive Passes,event.drivePasses
drivePlays,GAME_EVENT,INT,Drive Plays,event.drivePlays
driveRushes,GAME_EVENT,INT,Drive Rushes,event.driveRushes
driveSacks,GAME_EVENT,INT,Drive Sacks,event.driveSacks
driveScoreResult,GAME_EVENT,INT,Drive Score Result,event.driveScoreResult
driveScoreSituation,GAME_EVENT,ENUM,Drive Score Situation,event.driveScoreSituation
driveStartDistance,GAME_EVENT,INT,Drive Start Distance,event.driveStartDistance
driveStartingClock,GAME_EVENT,INT,Drive Starting Game Clock,event.driveStartingClock
driveStartQuarter,GAME_EVENT,INT,Drive Start Quarter,event.driveStartQuarter
driveTimeOfPossession,GAME_EVENT,INT,Drive Possession Seconds,event.driveTimeOfPossession
driveYards,GAME_EVENT,INT,Drive Yards,event.driveYards
driveDefenseTeamScore,GAME_EVENT_ENTITY,INT,Drive Defensive Team Score,event.driveDefenseTeamScore
driveTeamOnDefense,GAME_EVENT_ENTITY,FLAG,Drive Defensive Team,event.driveTeamOnDefense
driveOffenseTeamScore,GAME_EVENT_ENTITY,INT,Drive Offensive Team Score,event.driveOffenseTeamScore
driveTeamOnOffense,GAME_EVENT_ENTITY,FLAG,Drive Offensive Team,event.driveTeamOnOffense
distToFirstStart,GAME_EVENT,INT,Distance to First Start,event.distToFirstStart
eventNumberInDrive,GAME_EVENT,INT,Event Number In Drive,event.eventNumberInDrive
goalDistStart,GAME_EVENT,INT,Distance to Goal Start,event.goalDistStart
play,GAME_EVENT,FLAG,Play,event.play
playGroupId,GAME_EVENT,INT,GSIS Play Group ID,event.playGroupId
assist,GAME_EVENT_ENTITY,INT,Assist,event.assist
currentScore,GAME_EVENT_ENTITY,INT,Current Score,event.currentScore
kicker,GAME_EVENT_ENTITY,FLAG,Kicker,event.kicker
kickoff,GAME_EVENT_ENTITY,FLAG,Kickoff,event.kickoff
tackle,GAME_EVENT_ENTITY,INT,Tackle,event.tackle
kickoffReturn,GAME_EVENT_ENTITY,FLAG,Kickoff Return,event.kickoffReturn
nonKicker,GAME_EVENT_ENTITY,FLAG,Non Kicker,event.nonKicker
returner,GAME_EVENT_ENTITY,FLAG,Returner,event.returner
downEnd,GAME_EVENT,INT,Down End,event.downEnd
downStart,GAME_EVENT,INT,Down Start,event.downStart
defense,GAME_EVENT_ENTITY,FLAG,Defense,event.defense
offense,GAME_EVENT_ENTITY,FLAG,Offense,event.offense
rush,GAME_EVENT_ENTITY,FLAG,Rush,event.rush
rusher,GAME_EVENT_ENTITY,FLAG,Rusher,event.rusher
rushYards,GAME_EVENT_ENTITY,INT,Rush Yards,event.rushYards
penaltyYards,GAME_EVENT_ENTITY,INT,Penalty Yards,event.penaltyYards
possPenalties,GAME_EVENT_ENTITY,INT,Possession Penalties,event.possPenalties
possPenaltiesAccepted,GAME_EVENT_ENTITY,INT,Possession Penalties Accepted,event.possPenaltiesAccepted
passResult,GAME_EVENT,ENUM,Pass Result,event.passResult
attempt,GAME_EVENT_ENTITY,INT,Attempt,event.attempt
passer,GAME_EVENT_ENTITY,FLAG,Passer,event.passer
passYards,GAME_EVENT_ENTITY,INT,Pass Attempt Yards,event.passYards
target,GAME_EVENT_ENTITY,FLAG,Target,event.target
defSack,GAME_EVENT_ENTITY,FLAG,Defensive Sack,event.defSack
sacked,GAME_EVENT_ENTITY,FLAG,Sacked,event.sacked
sackYards,GAME_EVENT_ENTITY,INT,Sack Yards,event.sackYards
puntFairCatch,GAME_EVENT,FLAG,Punt Fair Catch,event.puntFairCatch
fairCatch,GAME_EVENT_ENTITY,FLAG,Fair Catch,event.fairCatch
punt,GAME_EVENT_ENTITY,FLAG,Punt,event.punt
rushFirstDown,GAME_EVENT_ENTITY,FLAG,Rush First Down,event.rushFirstDown
puntInside20,GAME_EVENT,FLAG,Punt Inside 20,event.puntInside20
puntOutOfBounds,GAME_EVENT,FLAG,Punt Out of Bounds,event.puntOutOfBounds
puntDowned,GAME_EVENT,FLAG,Punt Downed,event.puntDowned
completion,GAME_EVENT_ENTITY,FLAG,Completion,event.completion
receiver,GAME_EVENT_ENTITY,FLAG,Receiver,event.receiver
reception,GAME_EVENT_ENTITY,FLAG,Reception,event.reception
recYards,GAME_EVENT_ENTITY,INT,Reception Yards,event.recYards
timeout,GAME_EVENT,FLAG,Timeout,event.timeout
timeoutTaken,GAME_EVENT_ENTITY,FLAG,Timeout Taken,event.timeoutTaken
puntReturn,GAME_EVENT_ENTITY,FLAG,Punt Return,event.puntReturn
driveRedZone,GAME_EVENT,FLAG,Drive Red Zone,event.driveRedZone
passFirstDown,GAME_EVENT_ENTITY,FLAG,Pass First Down,event.passFirstDown
recFirstDown,GAME_EVENT_ENTITY,FLAG,Reception First Down,event.recFirstDown
fg,GAME_EVENT_ENTITY,FLAG,FG,event.fg
fga,GAME_EVENT_ENTITY,FLAG,FGA,event.fga
playScore,GAME_EVENT_ENTITY,INT,Play Score,event.playScore
penaltyFirstDowns,GAME_EVENT_ENTITY,INT,Penalty First Downs,event.penaltyFirstDowns
goalToGo,GAME_EVENT,FLAG,Goal To Go,event.goalToGo
defInterception,GAME_EVENT_ENTITY,FLAG,Defensive Interception,event.defInterception
fumble,GAME_EVENT_ENTITY,INT,Fumble,event.fumble
fumbleLost,GAME_EVENT_ENTITY,INT,Fumble Lost,event.fumbleLost
intReturn,GAME_EVENT_ENTITY,FLAG,Interception Return,event.intReturn
forcedFumble,GAME_EVENT_ENTITY,INT,Forced Fumble,event.forcedFumble
interception,GAME_EVENT_ENTITY,FLAG,Interception,event.interception
oppFumbleRecovery,GAME_EVENT_ENTITY,INT,Opponent Fumble Recover,event.oppFumbleRecovery
rushTD,GAME_EVENT_ENTITY,FLAG,Rush TD,event.rushTD
xp,GAME_EVENT_ENTITY,FLAG,XP,event.xp
xpa,GAME_EVENT_ENTITY,FLAG,XPA,event.xpa
actionPlay,GAME_EVENT_ENTITY,FLAG,Action Play,event.actionPlay
airYards,GAME_EVENT_ENTITY,INT,Air Yards,event.airYards
blockedFGA,GAME_EVENT_ENTITY,FLAG,Blocked FGA,event.blockedFGA
blockedKickRecovery,GAME_EVENT_ENTITY,FLAG,Blocked Kick Recovery,event.blockedKickRecovery
blockedKickReturn,GAME_EVENT_ENTITY,FLAG,Blocked Kick Return,event.blockedKickReturn
blockedPAT,GAME_EVENT_ENTITY,FLAG,Blocked PAT,event.blockedPAT
blockedPunt,GAME_EVENT_ENTITY,FLAG,Blocked Punt,event.blockedPunt
boxCount,GAME_EVENT,INT,Box Count,event.boxCount
defConv,GAME_EVENT_ENTITY,FLAG,Defensive Conversion,event.defConv
defSafety,GAME_EVENT_ENTITY,FLAG,Def Safety,event.defSafety
driveGoalToGo,GAME_EVENT,FLAG,Drive Goal To Go,event.driveGoalToGo
endEp,GAME_EVENT_ENTITY,FLOAT,Team End EP,event.endEp
epa,GAME_EVENT_ENTITY,FLOAT,Team EPA,event.epa
fgaBlocked,GAME_EVENT,FLAG,FGA Blocked,event.fgaBlocked
fgReturn,GAME_EVENT_ENTITY,FLAG,FGA Return,event.fgReturn
fumbleRecoveryTD,GAME_EVENT_ENTITY,INT,Fumble Recovery TD,event.fumbleRecoveryTD
fumbleReturn,GAME_EVENT_ENTITY,FLAG,Fumble Return,event.fumbleReturn
huddle,GAME_EVENT,ENUM,Huddle,event.huddle
kickoffOutOfBounds,GAME_EVENT,FLAG,Kickoff Out of Bounds,event.kickoffOutOfBounds
kickoffReturnTd,GAME_EVENT,FLAG,Kickoff Return TD,event.kickoffReturnTd
kickoffTouchBack,GAME_EVENT,FLAG,Kickoff Touch Back,event.kickoffTouchBack
ncaa,SEASON,FLAG,NCAA Season,event.ncaa
neutralSite,GAME,FLAG,Neutral Site Flag,event.neutralSite
offSafety,GAME_EVENT_ENTITY,FLAG,Off Safety,event.offSafety
onSideKick,GAME_EVENT,FLAG,On Side Kick,event.onSideKick
onSideRecovered,GAME_EVENT,FLAG,On Side Kick Recovered,event.onSideRecovered
onSideRecovery,GAME_EVENT_ENTITY,FLAG,On Side Recovery,event.onSideRecovery
onsideReturn,GAME_EVENT_ENTITY,FLAG,On Side Return,event.onsideReturn
overtimeCoinTossChoice,GAME,ENUM,Overtime Coin Toss Selection,event.overtimeCoinTossChoice
ownFumbleRecovery,GAME_EVENT_ENTITY,INT,Own Fumble Recovery,event.ownFumbleRecovery
passBatted,GAME_EVENT_ENTITY,FLAG,Pass Batted,event.passBatted
passDefended,GAME_EVENT_ENTITY,FLAG,Pass Defended,event.passDefended
passTD,GAME_EVENT_ENTITY,FLAG,Pass TD,event.passTD
passTipped,GAME_EVENT_ENTITY,FLAG,Pass Tipped,event.passTipped
patReturn,GAME_EVENT_ENTITY,FLAG,PAT Return,event.patReturn
playAbortedFumble,GAME_EVENT,FLAG,Play Aborted Fumble,event.playAbortedFumble
playAbortedPenalty,GAME_EVENT,FLAG,Play Aborted Penalty,event.playAbortedPenalty
puntBlocked,GAME_EVENT,FLAG,Punt Blocked,event.puntBlocked
puntReturnTd,GAME_EVENT,FLAG,Punt Return TD,event.puntReturnTd
puntTouchBack,GAME_EVENT,FLAG,Punt Touch Back,event.puntTouchBack
qbHit,GAME_EVENT,FLAG,QB Hit,event.qbHit
qbrQualified,GAME_ENTITY,FLAG,QBR Game Qualified,event.qbrQualified
rbCount,GAME_EVENT,INT,RB Count,event.rbCount
recTD,GAME_EVENT_ENTITY,FLAG,Reception TD,event.recTD
shotgun,GAME_EVENT,ENUM,Shotgun,event.shotgun
splitSack,GAME_EVENT,FLAG,Split Sack,event.splitSack
startEp,GAME_EVENT_ENTITY,FLOAT,Team Start EP,event.startEp
teCount,GAME_EVENT,INT,TE Count,event.teCount
tfl,GAME_EVENT,FLAG,Tackle For Loss,event.tfl
thrownToDistToGoal,GAME_EVENT,INT,Thrown to distance to goal,event.thrownToDistToGoal
thrownToSticks,GAME_EVENT,FLAG,Thrown To Sticks,event.thrownToSticks
tie,GAME_ENTITY,FLAG,Tie,event.tie
twoPointCompletion,GAME_EVENT_ENTITY,FLAG,Two Point Completion,event.twoPointCompletion
twoPointConversion,GAME_EVENT_ENTITY,FLAG,Two Point Conversion,event.twoPointConversion
twoPointConversionAttempt,GAME_EVENT_ENTITY,FLAG,Two Point Conversion Attempt,event.twoPointConversionAttempt
twoPointPassAttempt,GAME_EVENT_ENTITY,FLAG,Two Point Pass Attempt,event.twoPointPassAttempt
twoPointPassConversion,GAME_EVENT_ENTITY,FLAG,Two Point Pass Conversion,event.twoPointPassConversion
twoPointReception,GAME_EVENT_ENTITY,FLAG,Two Point Reception,event.twoPointReception
twoPointReceptionConversion,GAME_EVENT_ENTITY,FLAG,Two Point Reception Conversion,event.twoPointReceptionConversion
twoPointRush,GAME_EVENT_ENTITY,FLAG,Two Point Rush Attempt,event.twoPointRush
twoPointRushConversion,GAME_EVENT_ENTITY,FLAG,Two Point Rush Conversion,event.twoPointRushConversion
twoPointTarget,GAME_EVENT_ENTITY,FLAG,Two Point Pass Target,event.twoPointTarget
twoPtAttempter,GAME_EVENT_ENTITY,FLAG,2 Point Conversion Attempter,event.twoPtAttempter
twoPtDefender,GAME_EVENT_ENTITY,FLAG,2 Point Conversion Defender,event.twoPtDefender
wallClock,GAME_EVENT,INT,Wall Clock,event.wallClock
windSpeed,GAME,INT,Wind Speed,event.windSpeed
wonOvertimeCoinToss,GAME_ENTITY,FLAG,Won Overtime Coin Toss,event.wonOvertimeCoinToss
wrCount,GAME_EVENT,INT,WR Count,event.wrCount
xpaBlocked,GAME_EVENT,FLAG,XPA Blocked,event.xpaBlocked
yardsAfterContact,GAME_EVENT_ENTITY,INT,Yards After Contact,event.yardsAfterContact
startTime,GAME,INT,Game Start Time,event.startTime
yac,GAME_EVENT_ENTITY,INT,Yards After the Catch,event.yac
playGoalToGo,GAME_EVENT,FLAG,Play Goal To Go,event.playGoalToGo
playRedZone,GAME_EVENT,FLAG,Play Red Zone,event.playRedZone
pointsOffTurnover,GAME_EVENT_ENTITY,INT,Points Off Turnover,event.pointsOffTurnover
offensivePoints,GAME_EVENT_ENTITY,INT,Offensive Points,event.offensivePoints
driveFirstDowns,GAME_EVENT,INT,Drive First Downs,event.driveFirstDowns
defFantasyPointsYards,GAME_ENTITY,INT,Defensive Fantasy Points for Yards Allowed,event.defFantasyPointsYards
defFantasyPointsScore,GAME_ENTITY,INT,Defensive Fantasy Points for Points Allowed,event.defFantasyPointsScore
fantasyPointsAgainstQB,GAME_ENTITY,FLOAT,Fantasy Points Against by QB's,event.fantasyPointsAgainstQB
fantasyPointsAgainstRB,GAME_ENTITY,FLOAT,Fantasy Points Against by RB's,event.fantasyPointsAgainstRB
fantasyPointsAgainstWR,GAME_ENTITY,FLOAT,Fantasy Points Against by WR's,event.fantasyPointsAgainstWR
fantasyPointsAgainstTE,GAME_ENTITY,FLOAT,Fantasy Points Against by TE's,event.fantasyPointsAgainstTE
fantasyPointsAgainstK,GAME_ENTITY,FLOAT,Fantasy Points Against by K's,event.fantasyPointsAgainstK
pprFantasyPointsAgainstRB,GAME_ENTITY,FLOAT,PPR Fantasy Points Against by RB's,event.pprFantasyPointsAgainstRB
pprFantasyPointsAgainstWR,GAME_ENTITY,FLOAT,PPR Fantasy Points Against by WR's,event.pprFantasyPointsAgainstWR
pprFantasyPointsAgainstTE,GAME_ENTITY,FLOAT,PPR Fantasy Points Against by TE's,event.pprFantasyPointsAgainstTE
